Step,Training Loss
780,1.979400
781,2.034500
782,1.924100
783,1.819400
784,1.503400
785,1.669800
786,1.841500
787,1.443500
788,1.749700
789,1.695300
790,1.784000
791,1.395700
792,1.629600
793,1.415200
794,1.761900
795,1.367800
796,2.038800
797,1.830300
798,1.766200
799,1.418900
800,1.452200
801,1.953900
802,2.077700
803,1.765400
804,1.863300
805,1.536500
806,1.703100
807,1.556500
808,1.718300
809,1.698700
810,1.774200
811,1.735500
812,1.871100
813,1.577200
814,1.836000
815,1.668100
816,1.883800
817,2.172400
818,1.864000
819,1.400000
820,1.440100
821,1.776600
822,1.656800
823,2.140300
824,1.498400
825,1.939600
826,1.675000
827,1.722900
828,1.664500
829,1.687800
830,1.754500
831,1.700800
832,1.473500
833,2.130300
834,2.038900
835,1.557000
836,1.751000
837,1.829700
838,1.965400
839,1.909600
840,1.749100
841,1.854200
842,1.838600
843,1.904000
844,1.974700
845,1.755700
846,1.607400
847,1.697800
848,1.602400
849,1.905100
850,1.765000
851,2.181600
852,1.966200
853,1.060000
854,1.858600
855,1.476900
856,1.963600
857,1.748500
858,1.738500
859,1.203800
860,1.902400
861,1.642100
862,1.474600
863,1.607200
864,1.972100
865,1.326500
866,2.122300
867,1.909100
868,1.828700
869,1.462500
870,2.093500
871,1.671000
872,2.053300
873,1.706200
874,1.498500
875,1.727100
876,1.645400
877,1.897900
878,1.970600
879,1.752700
880,1.510100
881,1.482700
882,1.833700
883,1.734400
884,1.833800
885,1.678500
886,1.630000
887,1.611500
888,1.208700
889,1.952600
890,1.844900
891,2.263700
892,1.852000
893,1.896300
894,1.093800
895,1.892200
896,1.621800
897,1.566700
898,1.334600
899,1.718400
900,1.794200
901,1.489900
902,1.678300
903,1.903800
904,1.475600
905,1.624900
906,2.065500
907,2.066800
908,1.333600
909,1.704800
910,1.769600
911,1.951200
912,1.640900
913,1.710900
914,1.825300
915,1.653200
916,1.893600
917,1.539900
918,1.507100
919,1.951100
920,1.992100
921,1.791800
922,1.494800
923,1.841900
924,1.426000
925,1.774500
926,1.983500
927,1.251900
928,1.728700
929,1.833800
930,1.798100
931,1.686500
932,1.948800
933,2.318600
934,2.004900
935,1.679200
936,1.705800
937,1.590100
938,2.455500
939,2.050200
940,1.505200
941,1.555900
942,2.112600
943,1.718500
944,2.024400
945,1.967200
946,1.814600
947,1.608100
948,1.974500
949,1.615500
950,1.727700
951,1.856700
952,1.649200
953,1.325500
954,1.703200
955,1.643300
956,2.004800
957,2.246800
958,1.182800
959,1.388000
960,1.824500
961,1.515300
962,1.779300
963,1.585000
964,1.674800
965,1.927600
966,1.586700
967,1.227900
968,1.907000
969,1.112200
970,1.582900
971,2.048900
972,1.720200
973,1.786400
974,1.828300
975,2.163700
976,2.033200
977,1.410000
978,1.861000
979,2.134600
980,1.659900
981,1.607400
982,1.071600
983,2.047100
984,1.703500
985,2.415400
986,1.850800
987,1.628200
988,2.037800
989,1.734300
990,1.871300
991,1.623000
992,1.593200
993,1.659800
994,1.670500
995,1.768200
996,1.816400
997,1.718500
998,0.978700
999,1.495800
1000,2.047000
1001,1.955000
1002,1.687900
1003,1.625900
1004,1.899100
